job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
,Franklin Energy,https://www.indeed.com/cmp/Franklin-Energy,"Grand Rapids, MI 49544","The Senior Software Engineer will work on the within the Technology Group to expand, enhance and strengthen our technology platform to amplify the Company’s…",Posted3 days ago,Estimated $71.1K – $90.1K a year
,MKB Holdings,"https://www.indeed.com/q-Mkb-Holdings-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49504 (Westside Connection area)",Dealership Advantage is currently seeking a DevOps Engineer for its enterprise dealer management system and cloud environments.,Posted2 days ago,Estimated $88.3K – $112K a year
Software Engineer,Lake Michigan Credit Union,https://www.indeed.com/cmp/Lake-Michigan-Credit-Union,"Grand Rapids, MI",Lake Michigan Credit Union is seeking a talented and self-motivated Software Engineer to assist in the creation of software for new initiatives while assisting…,Posted30+ days ago,Estimated $78.5K – $99.5K a year
Software Developer(253),Vernus Technologies,"https://www.indeed.com/q-Vernus-Technologies-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49546","Perform business requirement analysis, impact analysis, and convert them into technical requirements.",Posted30+ days ago,Estimated $98K – $124K a year
,Baker Book House Co,https://www.indeed.com/cmp/Baker-Book-House,"Remote in Grand Rapids, MI",Reports To: Director of Digital Operations.,Posted6 days ago,Estimated $93.1K – $118K a year
Web Developer,Web Traffic Partners,"https://www.indeed.com/q-Web-Traffic-Partners-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49546",The ideal candidate will be fluent with WordPress and committed to delivering professional level work while being a strong contributing team member.,Posted30+ days ago,Estimated $39.4K – $50K a year
Front End Web Developer,Wolverine Worldwide,https://www.indeed.com/cmp/Wolverine-Worldwide,"Rockford, MI","The Front End Web Developer is responsible for front-end development efforts for assigned brands, including ongoing updates to existing HTML content areas and…",Posted30+ days ago,Estimated $67K – $84.8K a year
,L3Harris Technologies,https://www.indeed.com/cmp/L3harris,"Grand Rapids, MI","L3Harris Aviation Products manufactures a diverse line of safety- and efficiency-enhancing products that set the standard for next-generation requirements,…",Posted1 day ago,
Software Engineer -- Night Shift (Remote),Dematic,https://www.indeed.com/cmp/Dematic,"Remote in Grand Rapids, MI+7 locations","Dematic is looking for a talented Software Support Engineer to provide remote, second level customer support with Dematic's Global Software Organization.",Posted8 days ago,Estimated $70.1K – $88.7K a year
Web Designer/Developer,Andronaco Industries,https://www.indeed.com/cmp/Andronaco-Industries,"Kentwood, MI","The successful candidate will be working with a small team to build, enhance and maintain our corporate websites.",Posted30+ days ago,
Salesforce Commerce UI/UX Developer,Steelcase,https://www.indeed.com/cmp/Steelcase,"Hybrid remote in Grand Rapids, MI","You will be collaborating extensively with other IT professionals and with business leaders, building relationships with them.",Posted22 days ago,
,KPMG,https://www.indeed.com/cmp/Kpmg-0828bc85,"Grand Rapids, MI+2 locations",Understand the application and platform development goals and design effective solutions.,Posted7 days ago,Estimated $114K – $144K a year
Associate Software Developer,Brooksource,https://www.indeed.com/cmp/Brooksource,"Grand Rapids, MI",*We cannot provide sponsorship at this time*.,Posted30+ days ago,
,Worksighted,https://www.indeed.com/cmp/Worksighted,"Holland, MI 49423",We are looking for an PC Deployment Engineer who will be responsible for carrying out the technical work that filters through client tickets into the Lab…,Posted3 days ago,Estimated $42.2K – $53.4K a year
Programmer Analyst III- GR Mainframe,SpartanNash,https://www.indeed.com/cmp/Spartannash,"Byron Center, MI 49315",Role will be responsible to lead and/or participate in the research and fact finding to modify or develop moderately complex company applications/information…,Posted30+ days ago,Estimated $68.8K – $87.2K a year
US Tech Javascript Automation Engineer,PRICE WATERHOUSE COOPERS,https://www.indeed.com/cmp/Pwc,"Grand Rapids, MI 49503 (Heartside area)","You’ll focus on managing the design and implementation of technology infrastructure within PwC, developing and enhancing both client and internal facing…",Posted30+ days ago,Estimated $82.3K – $104K a year
Software Product Engineer,Magna International Inc.,https://www.indeed.com/cmp/Magna-International-Inc,"Kentwood, MI 49512","Combining a deep systems knowledge to develop unique vehicle access experiences, intelligent visions systems and advanced automotive lighting technologies, MML…",Posted30+ days ago,Estimated $91.3K – $116K a year
,"Stefanini, Inc",https://www.indeed.com/cmp/Stefanini-IT-Solution,"Remote in Grand Rapids, MI","Designs, codes or configures, tests, debugs, deploys, documents and maintains large and/or complex programs, using a variety of software development toolkits,…",Posted3 days ago,
Embedded SW Development Engineer,GE Aviation,https://www.indeed.com/cmp/GE-Aviation,"Hybrid remote in Grand Rapids, MI+1 location","GE Aviation Systems Avionics Engineering is seeking entry level engineers interested in software engineering roles to help us invent the future of flight, lift…",Posted30+ days ago,Estimated $95.2K – $121K a year
Full Stack Developer - Location Open,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)+9 locations","As a Full Stack Developer Consultant for our HR Transformation team, you will use your knowledge and experience of HR operations and the ServiceNow HR Service…",Posted9 days ago,Estimated $84.3K – $107K a year
Senior Front End Developer,RaiseRight,"https://www.indeed.com/q-Raiseright-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49508",Create end-user experiences primarily using React.js.,Posted30+ days ago,Estimated $96.8K – $123K a year
Mobile Application Developer,Salamander Technologies,"https://www.indeed.com/q-Salamander-Technologies-l-Grand-Rapids,-MI-jobs.html","Remote in Grand Rapids, MI","Skilled developer with drive and passion in Application Development with 2 to 4 years of work, responsible for enhancing existing mobile applications and…",EmployerActive 11 days ago,
,JR Automation,https://www.indeed.com/cmp/Jr-Automation,"Holland, MI 49424","Architect, design, develop and support software systems for manufacturing automation machines requiring: dynamic software solutions, custom software, algorithm…",Posted1 day ago,
,Rapidparts Inc.,https://www.indeed.com/cmp/Mitsubishi-Logisnext-Americas-Inc.,"Walker, MI 49544",Software development: Develop and provide on-going support for web-based and non-web-based applications to meet business requirements and web standards.,Posted8 days ago,
,Dematic,https://www.indeed.com/cmp/Dematic,"Grand Rapids, MI 49505 (Norteast Citizens Action area)+2 locations","Our commitment to product and solution R&D combined with manufacturing plants in the US, Europe, China and Australia ensures Dematic has the range and…",Posted6 days ago,
Ruby on Rails Developer,Victory Text,"https://www.indeed.com/q-Victory-Text-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49503 (Heartside area)",In this role you will be maintaining and further developing our existing Ruby on Rails websites.,EmployerActive 2 days ago,
Junior Software Developer,Revature,https://www.indeed.com/cmp/Revature-8,"Wyoming, MI+1 location",College degree (Associates or Bachelors).,Posted30+ days ago,
Director of Web Development,Deksia,https://www.indeed.com/addlLoc/redirect?tk=1fr2s903osa29800&jk=53159201b6b9b068&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Fa%252FqceqhAaCglub3JtdGl0bGUaDXdlYiBkZXZlbG9wZXI%253D,"Grand Rapids, MI 49503 (Belknap Lookout area)+1 location","Deksia is a full-service agency, so developers will also work closely with other departments such as our copywriting, video + photo, and digital strategy.",EmployerActive 11 days ago,
Full Stack Developer,Crowe,https://www.indeed.com/cmp/Crowe,"Grand Rapids, MI 49503 (Heartside area)","As a Full Stack Developer, you will play a key role for both our project teams and Engineering team.",Posted21 days ago,
LabVIEW Developer,Disher,https://www.indeed.com/cmp/Disher,"Holland, MI","In this role, you will design, organize, direct and complete technical work to develop new and existing product validation and verification equipment to support…",Posted22 days ago,
Senior Salesforce Developer,Steelcase,https://www.indeed.com/cmp/Steelcase,"Hybrid remote in Grand Rapids, MI",This role will be focused on the development and delivery of eCommerce systems at Steelcase using the Salesforce B2B Commerce cloud application.,Posted30+ days ago,
Front End Web Developer,Cull Group Marketing & Design,"https://www.indeed.com/q-Cull-Group-Marketing-&-Design-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49506",At least 2 years of web development experience.,Posted30+ days ago,
Machine Learning Engineer (Speech to Text Startup),Recruiting From Scratch,https://www.indeed.com/addlLoc/redirect?tk=1fr2s903osa29800&jk=cc289baf3e0a71ba&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Fi0so2qhAmCglub3JtdGl0bGUaGW1hY2hpbmUgbGVhcm5pbmcgZW5naW5lZXI%253D,"Remote in Kentwood, MI+7 locations","Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…",Posted30+ days ago,
,Recruiting From Scratch,https://www.indeed.com/addlLoc/redirect?tk=1fr2s903osa29800&jk=22c6972356541f0e&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Fi0so2qhAdCglub3JtdGl0bGUaEGVuZ2luZWVyaW5nIGxlYWQ%253D,"Remote in Kentwood, MI+1 location","Lead a team of elite software engineers to set and build the product vision of our client, delivering a negative-churn developer experience, in a longterm…",Posted1 day ago,
Software Developer,Progressive AE,https://www.indeed.com/cmp/Progressive-Ae,"Grand Rapids, MI 49525","As a software developer, you will oversee the Progressive AE technology life-cycle duties to bring our applications to completion while exceeding business…",EmployerActive 2 days ago,
,Boston Technology,"https://www.indeed.com/q-Boston-Technology-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI","Minimum 2 years of experience in systems development and programming (.NET, C#, Azure: Logic Apps, Function Apps, CosmosDB, Storage Account, and Restful APIs).",Posted3 days ago,
Software Developer II,Springthrough,https://www.indeed.com/cmp/Springthrough,"Grand Rapids, MI 49546+1 location",Participate in the full life-cycle duties to bring clients projects to completion all the while exceeding their expectations.,EmployerActive 2 days ago,
Avionics Software Engineer,Belcan LLC,https://www.indeed.com/cmp/Belcan-LLC,"Grand Rapids, MI 49512",This is a full-time direct position with benefits.,EmployerActive 9 days ago,Estimated $85.7K – $109K a year
Software Engineer,L3Harris Technologies,https://www.indeed.com/cmp/L3harris,"Grand Rapids, MI",As a Software Engineer you will develop software for a diverse customer base across commercial and military aerospace segment.,Posted30+ days ago,Estimated $68.9K – $87.3K a year
,"Stefanini, Inc",https://www.indeed.com/cmp/Stefanini-IT-Solution,"Remote in Grand Rapids, MI","Designs, codes or configures, tests, debugs, deploys, documents and maintains large and/or complex programs, using a variety of software development toolkits,…",Posted3 days ago,
,"CCI Systems, Inc.","https://www.indeed.com/cmp/Cci-Systems,-Inc.","Remote in Grand Rapids, MI","We offer a comprehensive benefits package, competitive pay, flexibility, paid on the job training, overtime, professional development, and inspire you to be…",Posted6 days ago,Estimated $61.4K – $77.8K a year
Senior Quality Assurance Automation Engineer,Spectrum Health,https://www.indeed.com/cmp/Spectrum-Health-1,"Grand Rapids, MI","This role will partner with a highly collaborative development team to ensure text messages (SMS), emails, and digitized voice messages sent to patients and…",Posted30+ days ago,
Software Engineer,"Byrne Electrical Specialists, Inc",https://www.indeed.com/cmp/Byrne-Electrical-Specialists,"Rockford, MI 49341",Job Summary: This role helps drive Byrne’s digital customer presence through collaboration across the organization (or across our departments) in partnership…,Posted30+ days ago,Estimated $77.4K – $98K a year
,Dematic,https://www.indeed.com/cmp/Dematic,"Grand Rapids, MI 49505 (Norteast Citizens Action area)","Our commitment to product and solution R&D combined with manufacturing plants in the US, Europe, China and Australia ensures Dematic has the range and…",Posted6 days ago,Estimated $91.6K – $116K a year
